first_name,second_name,club_name,position,cost
Altay,Bayindir,Man Utd,Goalkeeper,4.5
Carlos Henrique,Casimiro,Man Utd,Midfielder,5.0
Diogo,Dalot Teixeira,Man Utd,Defender,5.0
Christian,Eriksen,Man Utd,Midfielder,5.5
Jonny,Evans,Man Utd,Defender,4.5
Alejandro,Garnacho,Man Utd,Midfielder,6.5
Hannibal,Mejbri,Man Utd,Midfielder,4.5
Tom,Heaton,Man Utd,Goalkeeper,4.0
Rasmus,Højlund,Man Utd,Forward,7.0
Victor,Lindelöf,Man Utd,Defender,4.5
Harry,Maguire,Man Utd,Defender,5.0
Kobbie,Mainoo,Man Utd,Midfielder,5.5
Tyrell,Malacia,Man Utd,Defender,4.5
Lisandro,Martínez,Man Utd,Defender,4.5
Scott,McTominay,Man Utd,Midfielder,5.0
Mason,Mount,Man Utd,Midfielder,6.5
André,Onana,Man Utd,Goalkeeper,5.0
Facundo,Pellistri Rebollo,Man Utd,Midfielder,5.0
Marcus,Rashford,Man Utd,Midfielder,7.0
Jadon,Sancho,Man Utd,Midfielder,6.5
Luke,Shaw,Man Utd,Defender,5.0
Aaron,Wan-Bissaka,Man Utd,Defender,4.5
Joshua,Zirkzee,Man Utd,Forward,7.0
Leny,Yoro,Man Utd,Defender,4.5
Alex,Murphy,Newcastle,Defender,4.0
Miguel,Almirón Rejala,Newcastle,Midfielder,6.0
Harvey,Barnes,Newcastle,Midfielder,6.5
Sven,Botman,Newcastle,Defender,4.5
Bruno,Guimarães Rodriguez Moura,Newcastle,Midfielder,6.5
Dan,Burn,Newcastle,Defender,4.5
Martin,Dúbravka,Newcastle,Goalkeeper,4.5
Ryan,Fraser,Newcastle,Midfielder,5.0
Anthony,Gordon,Newcastle,Midfielder,7.5
Lewis,Hall,Newcastle,Defender,4.5
Isaac,Hayden,Newcastle,Midfielder,4.5
Alexander,Isak,Newcastle,Forward,8.5
Jacob,Murphy,Newcastle,Midfielder,5.5
Joelinton Cássio,Apolinário de Lira,Newcastle,Midfielder,6.0
Lloyd,Kelly,Newcastle,Defender,4.5
Emil,Krafth,Newcastle,Defender,4.5
Garang,Kuol,Newcastle,Midfielder,4.5
Jamaal,Lascelles,Newcastle,Defender,4.5
Jamal,Lewis,Newcastle,Defender,4.0
Tino,Livramento,Newcastle,Defender,4.5
Sean,Longstaff,Newcastle,Midfielder,5.0
Lewis,Miley,Newcastle,Midfielder,5.0
Odysseas,Vlachodimos,Newcastle,Goalkeeper,4.5
Nick,Pope,Newcastle,Goalkeeper,5.0
John,Ruddy,Newcastle,Goalkeeper,4.0
Fabian,Schär,Newcastle,Defender,5.5
Matt,Targett,Newcastle,Defender,4.0
Sandro,Tonali,Newcastle,Midfielder,5.5
Kieran,Trippier,Newcastle,Defender,6.0
Joe,White,Newcastle,Midfielder,4.5
Joe,Willock,Newcastle,Midfielder,5.0
Callum,Wilson,Newcastle,Forward,7.0
Miodrag,Pivaš,Newcastle,Defender,4.0
Ola,Aina,Nott'm Forest,Defender,4.5
Elliot,Anderson,Nott'm Forest,Midfielder,5.0
Taiwo,Awoniyi,Nott'm Forest,Forward,6.0
Willy,Boly,Nott'm Forest,Defender,4.5
